    
mol_16.4.10.pdbcc.z50781.zip.xyz     Ca2HPO4_1
mol_16.4.11.pdbc.z50520.zip.xyz     Ca2HPO4_2
mol_16.4.12.pdbcc.z50591.zip.xyz     Ca2HPO4_3
mol_16.4.13.pdbcc.z50592.zip.xyz     Ca2HPO4_4
mol_16.4.14.pdb.z50443.zip.xyz     Ca2HPO4_5
mol_16.4.15.pdbc.z50523.zip.xyz     Ca2HPO4_6
mol_16.4.16.pdb.z50445.zip.xyz     Ca2HPO4_7
mol_16.4.17.pdbc.z50524.zip.xyz     Ca2HPO4_8
mol_16.4.18.pdbc.z50525.zip.xyz     Ca2HPO4_9
mol_16.4.19.pdbc.z50526.zip.xyz     Ca2HPO4_10
mol_16.4.20.pdb.z50449.zip.xyz     Ca2HPO4_11
mol_16.4.21.pdb.z50450.zip.xyz     Ca2HPO4_12
mol_16.4.22.pdbc.z50527.zip.xyz     Ca2HPO4_13
mol_16.4.23.pdbc.z50528.zip.xyz     Ca2HPO4_14
mol_16.4.24.pdbcc.z50782.zip.xyz     Ca2HPO4_15
mol_16.4.25.pdbc.z50530.zip.xyz     Ca2HPO4_16
mol_16.4.26.pdbc.z50531.zip.xyz     Ca2HPO4_17
mol_16.4.27.pdbc.z50532.zip.xyz     Ca2HPO4_18
mol_16.4.28.pdb.z50457.zip.xyz     Ca2HPO4_19
mol_16.4.29.pdb.z50458.zip.xyz     Ca2HPO4_20
mol_16.4.30.pdbc.z50533.zip.xyz     Ca2HPO4_21
mol_16.4.31.pdb.z50460.zip.xyz     Ca2HPO4_22
mol_16.4.32.pdb.z50461.zip.xyz     Ca2HPO4_23
mol_16.4.33.pdb.z50462.zip.xyz     Ca2HPO4_24
mol_16.4.34.pdbcc.z50594.zip.xyz     Ca2HPO4_25
mol_16.4.35.pdbc.z50535.zip.xyz     Ca2HPO4_26
mol_16.4.36.pdb.z50465.zip.xyz     Ca2HPO4_27
mol_16.4.37.pdb.z50466.zip.xyz     Ca2HPO4_28
mol_16.4.38.pdbcc.z50595.zip.xyz     Ca2HPO4_29
mol_16.4.39.pdbc.z50537.zip.xyz     Ca2HPO4_30
mol_16.4.40.pdbcc.z50596.zip.xyz     Ca2HPO4_31
mol_16.4.41.pdb.z50470.zip.xyz     Ca2HPO4_32
mol_16.4.42.pdb.z50471.zip.xyz     Ca2HPO4_33
mol_16.4.43.pdb.z50472.zip.xyz     Ca2HPO4_34
mol_16.4.44.pdbc.z50539.zip.xyz     Ca2HPO4_35
mol_16.4.45.pdbccc.z50788.zip.xyz     Ca2HPO4_36
mol_16.4.46.pdbcc.z50784.zip.xyz     Ca2HPO4_37
mol_16.4.47.pdbc.z50786.zip.xyz     Ca2HPO4_38
mol_16.4.48.pdbc.z50542.zip.xyz     Ca2HPO4_39
mol_16.4.49.pdbc.z50543.zip.xyz     Ca2HPO4_40
mol_16.4.4.pdbc.z50544.zip.xyz     Ca2HPO4_41
mol_16.4.50.pdbccc.z50787.zip.xyz     Ca2HPO4_42
mol_16.4.51.pdbcc.z50600.zip.xyz     Ca2HPO4_43
mol_16.4.52.pdb.z50482.zip.xyz     Ca2HPO4_44
mol_16.4.53.pdb.z50483.zip.xyz     Ca2HPO4_45
mol_16.4.54.pdbc.z50547.zip.xyz     Ca2HPO4_46
mol_16.4.55.pdb.z50485.zip.xyz     Ca2HPO4_47
mol_16.4.56.pdbcc.z50601.zip.xyz     Ca2HPO4_48
mol_16.4.57.pdbc.z50789.zip.xyz     Ca2HPO4_49
mol_16.4.58.pdbcc.z50602.zip.xyz     Ca2HPO4_50
mol_16.4.59.pdbcc.z50603.zip.xyz     Ca2HPO4_51
mol_16.4.5.pdbc.z50551.zip.xyz     Ca2HPO4_52
mol_16.4.6.pdbc.z50552.zip.xyz     Ca2HPO4_53
mol_16.4.7.pdbc.z50553.zip.xyz     Ca2HPO4_54
mol_16.4.8.pdbc.z50554.zip.xyz     Ca2HPO4_55
mol_16.4.9.pdb.z50494.zip.xyz     Ca2HPO4_56
mol_16.5.0.pdbc.z50555.zip.xyz     Ca2HPO4_57
mol_16.5.10.pdb.z50496.zip.xyz     Ca2HPO4_58
mol_16.5.11.pdb.z50497.zip.xyz     Ca2HPO4_59
mol_16.5.12.pdb.z50498.zip.xyz     Ca2HPO4_60
mol_16.5.13.pdbc.z50556.zip.xyz     Ca2HPO4_61
mol_16.5.14.pdbc.z50557.zip.xyz     Ca2HPO4_62
mol_16.5.15.pdbc.z50558.zip.xyz     Ca2HPO4_63
mol_16.5.16.pdbc.z50559.zip.xyz     Ca2HPO4_64
mol_16.5.17.pdbc.z50560.zip.xyz     Ca2HPO4_65
mol_16.5.18.pdbc.z50561.zip.xyz     Ca2HPO4_66
mol_16.5.19.pdbcc.z50604.zip.xyz     Ca2HPO4_67
mol_16.5.1.pdbc.z50563.zip.xyz     Ca2HPO4_68
mol_16.5.2.pdbcc.z50785.zip.xyz     Ca2HPO4_69
mol_16.5.3.pdbc.z50565.zip.xyz     Ca2HPO4_70
mol_16.5.4.pdb.z50509.zip.xyz     Ca2HPO4_71
mol_16.5.5.pdb.z50510.zip.xyz     Ca2HPO4_72
mol_16.5.6.pdb.z50511.zip.xyz     Ca2HPO4_73
mol_16.5.7.pdb.z50512.zip.xyz     Ca2HPO4_74
mol_16.5.8.pdbc.z50566.zip.xyz     Ca2HPO4_75
mol_16.5.9.pdb.z50514.zip.xyz     Ca2HPO4_76
